schomburgk_line_title;The Schomburgk Line;;;;;;;;;;;;;
NORMAL_CONQUEST_ANY_NAME_EGY_ALA;The Alawite Revolt;;;;;;;;;;;;;
SPANISHCHOLERA;It's been nine months since cholera hit France, and our authorities knew it was only a matter of time before it came to Spain as well. Over the past month, cholera was reported in Vigo, Galicia, which now hosts the majority of cases in all the country. The outbreak initially was caused by the landing of auxiliary troops in Portugal, where the War of Portuguese Succession still rages on. Almost instantly another outbreak emerged in Barcelona. But cases are spreading most widely in the south, where thousands of deaths have occurred. The plague is bringing winds of rebellion to the population, who resent the government's poor response.;;;;;;;;;;;;;
ODAALAPATRIA;A poem in Catalan entitled 'La Pàtria,' or 'The Homeland' in English, by Carles Aribau, has been published recently. The poem is fueling the rebirth of Catalan as a literary language and, thus, its re-emergence in everyday use. It tells of the longing for an independent Catalonia and exalts the Catalan language--a clear threat to the unity of our nation.;;;;;;;;;;;;;
FRANKFURTERWACHENSTURM;There is a spectre haunting Germany--that of liberalism--and its effects are becoming more and more visible. Today, fifty students stormed Frankfurt's Hauptwache and Konstablerwache police offices, attempting to gain access to the German Confederacy's treasury. This, in turn, would enable them to hold the Confederacy's leadership hostage and force the German states' unification. The police summarily apprehended the perpetrators. Eight of them, however, escaped to the United States. \n\nIt remains to be seen how much more influence these revolutionaries' circles will gain in Germany. One of the groups participating in the attack, the Burschenschaft, will not rest until Germany becomes a single political entity for the first time in over a millennium.;;;;;;;;;;;;;
FRANKFURTERWACHENSTURMOPT;Divided we stand, united we fall?;;;;;;;;;;;;;
RESTORERSARGQUOTEUNQUOTE;A dreary silence hangs over Buenos Aires, the calm forced upon a city after the sudden topple of the provincial government. The previously-elected governor of Buenos Aires, Juan Ramón Balcarce, has been been deposed and replaced with Juan José Viamonte, a crony of Juan Manuel de Rosas. Balcarce provoked the anger of the Rosas-supporting federalists after announcing that Rosas would be tried for treason, having seized absolute power during his governance from 1829 to 1832. Thus, a contingent of federalists immediately headed for Buenos Aires from Rosas' military campaign in the Pampas and threatened to forcibly oust Balcarce. Rosas' wife, Encarnación Ezcurra, worked behind the scenes to ensure further military support for the coup.;;;;;;;;;;;;;
RESTORERSARGQUOTEUNQUOTEOPT;Y'all better watch out for the federales.;;;;;;;;;;;;;
KRAKOWCONSTITUTION1833;Our constitution as an independent city-state has been revised under the supervision of Austrian Chancellor Klemens von Metternich. Having started the redrafting in 1832 and completed it this year, our government has consequently been reorganized to grant more power to the occupation authorities of Austria, Prussia, and Russia. Dissidents have also been purged from our Senate. We are only independent in name now.;;;;;;;;;;;;;
KRAKOWCONSTITUTION1833OPT;Then again, when did we have the power to enforce our independence?;;;;;;;;;;;;;
munchengratz_conference_title;The Münchengrätz Conference;;;;;;;;;;;;;
munchengratz_conference_desc;The Ottomans' fate is inextricably tied to the welfare and security of Central and Eastern Europe. Having been pushed out of the Levant by Egypt, there is an increased risk that the Ottoman Empire may fall and disrupt the balance of power maintained after Napoleon's defeat. Austrian Chancellor Klemens von Metternich, therefore, proposes petitioning our former allies in the Holy Alliance--Prussia and Russia--to act together with us to maintain the Ottomans' stability. This would ensure no one power exerts total control over the Ottomans' domestic and foreign policies--least of all Russia, who gained the ability to close the Dardanelles to foreign trade at will in the Treaty of Unkiar Skelessi. We would also ensure a symbolic preservation of the conservative status quo as each of the monarchies in the former Holy Alliance battle surges of liberalism.;;;;;;;;;;;;;
MUNCHENGRATZCONFERENCERUS;The Ottomans' fate is inextricably tied to the welfare and security of Central and Eastern Europe. Having been pushed out of the Levant by Egypt, there is an increased risk that the Ottoman Empire may fall and disrupt the balance of power maintained after Napoleon's defeat. Austrian Chancellor Klemens von Metternich, therefore, proposes re-establishing the Holy Alliance of the Napoleonic Wars--Austria, Prussia and Russia--to act together to maintain the Ottomans' stability. This would ensure no one power exerts total control over the Ottomans' domestic and foreign policies--obviously meant to target us, considering the control Russia now has over trade in the Dardanelles per the Treaty of Unkiar Skelessi. We would also ensure a symbolic preservation of the conservative status quo as each of the monarchies in the former Holy Alliance battle surges of liberalism.;;;;;;;;;;;;;
MUNCHENGRATZCONFERENCEPRU;The Ottomans' fate is inextricably tied to the welfare and security of Central and Eastern Europe. Having been pushed out of the Levant by Egypt, there is an increased risk that the Ottoman Empire may fall and disrupt the balance of power maintained after Napoleon's defeat. Austrian Chancellor Klemens von Metternich, therefore, proposes re-establishing the Holy Alliance of the Napoleonic Wars--Austria, Prussia and Russia--to act together to maintain the Ottomans' stability. This would ensure no one power exerts total control over the Ottomans' domestic and foreign policies--least of all Russia, who gained the ability to close the Dardanelles to foreign trade at will in the Treaty of Unkiar Skelessi. We would also ensure a symbolic preservation of the conservative status quo as each of the monarchies in the former Holy Alliance battle surges of liberalism.;;;;;;;;;;;;;
MUNCHENGRATZCONFERENCESUCCEEDS;The Münchengrätz Convention ended today in us, Prussia, and Russia signing of a treaty to work together to preserve the Ottomans' stability and remain diplomatically close. Our Holy Alliance has been revived!;;;;;;;;;;;;;
MUNCHENGRATZCONFERENCEFAILS;The Münchengratz Convention ended in failure as Austrian, Prussian, and Russian delegates fought over the proposed treaty's terms. Our countries' self-centered foreign policies may cause Europe's balance of power to collapse. We did not care enough to work together to stop it.;;;;;;;;;;;;;
MUNCHENGRATZA;The Münchengrätz Conference;;;;;;;;;;;;;
MUNCHENGRATZB;The Münchengrätz Conference Fails;;;;;;;;;;;;;
MUNCHENGRATZC;The Münchengrätz Conference Succeeds;;;;;;;;;;;;;
ARG_prov_gov_conservative_adj;Unitarian;;;;;;;;;;;;;
ARC_prov_gov_conservative_adj;Federalist;;;;;;;;;;;;;
INCORPORATIONOFPERTH;The Swan River colony was established in 1829, declared by Captain Charles Fremantle of the HMS Challenger and has continued to sustain a decently sizable population since, with today’s numbers reaching 1500 people. The name is only a pars pro toto for Western Australia, and it has now been approved for a more formal renaming to include a larger area under a single lieutenant-governor.;;;;;;;;;;;;;
SOSHANGANELIKESTROLLING;Word has reached us that Zulu King Dingane kaSenzangakhona has attacked the Portuguese fort at Lourenço Marques. The garrison had apparently already largely fled and didn't put up a fight, allowing the victorious Zulu to sack the settlement and return to their lands in the South. This now leaves a power vacuum: With the Portuguese crushed and the Zulu horde headed back South, the coast is undefended and ripe for the picking.;;;;;;;;;;;;;
SOSHANGANEREKT;Disaster has struck our settlement in Lourenço Marques. The prosperous slave trading port has long been our center of control over the southern coast of Mozambique and central hub of the commerce taking place in nearby trading posts. The initial calamity was Zulu King Dingane kaSenzangakhona's recent sudden attack on the settlement. A large portion of the garrison fled the fort along with governor Dionísio António Ribeiro who was later hunted down and killed. The remaining token force surrendered to the invaders without a fight, leaving the Zulu to plunder Lourenço Marques. After the Zulus returned to their lands in the South, a new force arrived from the North: The Gaza Kingdom under Soshangane. Not only did he expel the remainder of our forces from the southern coast, he even crushed an expedition from Sofala, forcing our several of our colonial districts to recognize him as king and pay him tribute.;;;;;;;;;;;;;
academia_mihaleana_title;Academia Mihaileana;;;;;;;;;;;;;
academia_mihaleana_desc;Iasi lacks a higher learning institution. Perhaps the time has come to change that. We can promote intellectual Georghe Asachi's proposal for founding a new school in the city--one teaching both secondary and tertiary education.;;;;;;;;;;;;;
DEZUIDAFRIKAAN;De Zuid-Afrikaan, a monthly newspaper in South Africa, was established after the freedom of the press that is enjoyed in the motherland was granted to the Cape Colony. The paper aims to promote the interests of the educated Cape Dutch community, and so far has called for unity between the Dutch and English settlers.;;;;;;;;;;;;;
DEZUIDAFRIKAANOPT;Die Zuid-Afrikaan, uitgawe 1.;;;;;;;;;;;;;
NOONGARMASSACRE;The Binjarebs, a Nyungar tribe, have clashed with Western Australian colonists since the colony's foundation in 1829, when thousands of settlers began fencing off land and hunting the native wild-life, causing food shortages for the Aboriginal people. These clashes culminated in the colony's Governor, James Stirling, leading a detachment of 25 soldiers, police, and settlers to attack the Binjarebs. Over the next hour they shot and killed between 15 and 80 Nyungar men, women and children. The police superintendent was speared and later died. The Perth Gazette noted the attack as a "severe but well merited chastisement". ;;;;;;;;;;;;;
NOONGARMASSACREOPT;Sufficiently exemplary.;;;;;;;;;;;;;
TILIMSANINCIDENT;After consulting the ulama of Fez, Abd al-Rahman sent our troops to defend Tlemcen in 1830, consisting of 5,000 cavalry and two pieces of artillery from Fes, under the son of the sultan, Ali. The troops established their headquarters at Tlemcen. Our troops were warmly welcomed, even in the provinces of Tittery and Constantine, however upon discovering that Turkish and Kouloughli remnants were still fighting among themselves, angered by the stalemate, undisciplined Moroccan soldiers rampaged through the streets of Tlemcen. Should we order them to withdraw before they cause chaos?;;;;;;;;;;;;;
WADIYAREVOLT;As a result of the Wadiya's withdrawal from Tilimsan some months ago, the Wadiya, military tribes which defend the borders of the state and provide regular contingents to the army, have revolted all around the countryside, from Hasaymatu to Agadir, and recognised a relative of the sultan, Mohammed bin al-Tayyib, as sultan.. Fez is under siege, and the sultan has escaped to Meknes with the al-Bukhari, corps of black-African slaves and Haratin slave-soldiers, only loyal to the sultan. We should stop this rebellion and crack down on the Wadaya!\n§RNOTE: Merge the armies that spawn after this event!§W;;;;;;;;;;;;;
